,Latitude,Longitude,City,Temperature,Humidity,Cloudiness,Wind_Speed,Real_Latitude,Rel_longitude
0,173,-84,pevek,-19.68,91.0,50.0,2.8,69.7008,69.7008
1,22,31,faya,14.5,44.0,0.0,2.06,18.3851,18.3851
2,152,-36,chokurdakh,-15.1,91.0,97.0,0.71,70.6333,70.6333
4,20,24,faya,14.5,44.0,0.0,2.06,18.3851,18.3851
5,-142,39,punta arenas,2.0,93.0,0.0,2.06,-53.15,-53.15
7,127,29,tiksi,-17.61,95.0,100.0,3.08,71.6872,71.6872
9,90,11,dikson,-30.39,95.0,7.0,1.64,73.5069,73.5069
10,169,-47,pevek,-19.68,91.0,50.0,2.8,69.7008,69.7008
11,-101,34,punta arenas,2.0,93.0,0.0,2.06,-53.15,-53.15
12,-98,73,punta arenas,2.0,93.0,0.0,2.06,-53.15,-53.15
13,-40,51,cidreira,19.35,76.0,13.0,4.51,-30.1811,-30.1811
14,-20,-18,georgetown,29.61,79.0,20.0,0.51,5.4112,5.4112
15,19,77,faya,14.5,44.0,0.0,2.06,18.3851,18.3851
16,-162,-2,mataura,15.56,78.0,77.0,4.47,-46.1927,-46.1927
17,-123,56,punta arenas,2.0,93.0,0.0,2.06,-53.15,-53.15
18,-153,58,punta arenas,2.0,93.0,0.0,2.06,-53.15,-53.15
19,-128,0,punta arenas,2.0,93.0,0.0,2.06,-53.15,-53.15
20,-56,3,ushuaia,5.0,70.0,0.0,4.63,-54.8,-54.8
21,-12,-43,georgetown,29.48,79.0,20.0,0.51,5.4112,5.4112
22,3,-51,cotonou,28.0,89.0,20.0,4.63,6.3654,6.3654
23,-86,83,ushuaia,5.0,70.0,0.0,4.63,-54.8,-54.8
24,-143,38,punta arenas,2.0,93.0,0.0,2.06,-53.15,-53.15
25,111,43,saskylakh,-27.81,98.0,100.0,4.04,71.9167,71.9167
26,-99,66,punta arenas,2.0,93.0,0.0,2.06,-53.15,-53.15
27,121,76,saskylakh,-27.81,98.0,100.0,4.04,71.9167,71.9167
28,-66,-17,ushuaia,5.0,70.0,0.0,4.63,-54.8,-54.8
29,-72,-22,ushuaia,5.0,70.0,0.0,4.63,-54.8,-54.8
30,-4,89,axim,25.93,87.0,89.0,3.3,4.8699,4.8699
31,-127,-70,punta arenas,2.0,93.0,0.0,2.06,-53.15,-53.15
32,54,8,priyutovo,-4.91,96.0,97.0,4.46,53.9,53.9
33,9,-78,lafia,26.71,17.0,8.0,0.82,8.4833,8.4833
34,149,24,chokurdakh,-15.1,91.0,97.0,0.71,70.6333,70.6333
35,-161,34,mataura,15.56,81.0,77.0,3.58,-46.1927,-46.1927
36,-92,3,ushuaia,5.0,70.0,0.0,4.63,-54.8,-54.8
37,-8,45,georgetown,29.74,79.0,20.0,0.51,5.4112,5.4112
